Nr;Navn;Antal;procent;årstal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Rasmus;533;16;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Malthe;525;16;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Oscar;515;16;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Alexander;508;15;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Nikolaj;485;15;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Jonas;471;14;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Andreas;453;14;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Jacob;432;13;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Simon;399;12;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Kasper;393;12;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Anton;374;11;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Benjamin;359;11;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Daniel;341;10;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Nicklas;316;10;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Jeppe;306;9;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Elias;305;9;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Marius;298;9;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Christoffer;287;9;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Carl;283;9;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Valdemar;281;8;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Philip;279;8;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Jonathan;241;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;August;236;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Villads;232;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Silas;225;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Bertram;221;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Anders;214;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Lasse;209;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Laurits;199;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;David;189;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Aksel;178;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Hjalte;173;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Adam;172;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Albert;167;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Navn;Antal;Pr. 1 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Isabella;685;22;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Ida;635;21;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Anna;573;19;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Emma;559;18;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Mathilde;552;18;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Caroline;537;17;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Maja;531;17;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Freja;517;17;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Sofie;516;17;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Laura;466;15;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Lærke;465;15;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Sarah;422;14;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
