Nr;Navn;Antal;procent;årstal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Jakob;185;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Jonathan;185;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Andreas;177;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Albert;173;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Elliot;173;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Laurits;173;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Nicklas;172;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Theodor;172;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Arthur;171;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Tristan;169;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Bertram;168;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Simon;164;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Villum;162;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Daniel;161;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Lucas;816;24;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Oliver;782;23;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Emil;769;23;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Mikkel;755;22;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Noah;748;22;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Magnus;742;22;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;William;739;22;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Mathias;684;20;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Frederik;675;20;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Victor;652;19;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Sebastian;644;19;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Christian;618;18;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Malthe;610;18;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Mads;609;18;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Tobias;593;18;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Alexander;563;17;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Gustav;557;16;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Marcus;499;15;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Oscar;498;15;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Rasmus;485;14;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Andreas;446;13;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Anton;433;13;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Jonas;417;12;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Nikolaj;414;12;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Jacob;400;12;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Elias;383;11;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Simon;383;11;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Kasper;380;11;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Benjamin;364;11;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Daniel;341;10;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Nicklas;325;10;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Carl;288;9;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Villads;288;9;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Jonathan;268;8;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Valdemar;266;8;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Silas;255;8;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Jeppe;254;8;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Philip;248;7;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Marius;245;7;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;August;233;7;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Bertram;216;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Christoffer;215;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Lasse;201;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Tristan;200;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Albert;199;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Aksel;193;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Sander;186;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Johan;184;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;David;182;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Laurits;180;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Sofia;552;20;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Ida;529;19;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Freja;514;18;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Emma;512;18;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Isabella;429;15;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Sofie;427;15;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Maja;408;15;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Laura;407;15;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Clara;404;14;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Mathilde;396;14;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Anna;388;14;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Josefine;381;14;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Caroline;375;13;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Alberte;371;13;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Lærke;354;13;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Karla;338;12;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Alma;335;12;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Victoria;326;12;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Ella;321;11;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Liva;310;11;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Olivia;288;10;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Frida;274;10;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Mille;273;10;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Emilie;271;10;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Agnes;267;10;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Marie;242;9;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Sara;240;9;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Julie;233;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Nanna;212;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Filippa;197;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Naja;192;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Nicoline;186;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Signe;178;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Johanne;177;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Emily;176;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Merle;173;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Silje;173;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Lea;172;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Rosa;168;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Astrid;166;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Ellen;166;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Asta;163;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Katrine;162;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Silke;162;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Celina;161;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Luna;161;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Andrea;156;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Lily;153;5;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Tilde;151;5;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Esther;149;5;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Sofia;516;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Ida;505;19;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Isabella;439;16;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Emma;410;15;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Freja;403;15;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Clara;398;15;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Sofie;389;14;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Anna;383;14;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Josefine;376;14;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Laura;368;14;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Caroline;365;13;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Maja;350;13;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Alma;340;13;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Ella;330;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Karla;328;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Olivia;321;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Lærke;317;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Liva;312;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Mathilde;312;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Alberte;306;11;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Victoria;301;11;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Agnes;272;10;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Emilie;268;10;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Frida;256;9;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Mille;236;9;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Filippa;220;8;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Sara;217;8;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Vigga;206;8;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Julie;200;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Naja;197;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Emily;195;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Marie;192;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Astrid;181;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Nanna;180;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Johanne;179;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Nicoline;177;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Lea;173;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Ellen;170;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Rosa;166;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Malou;160;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Andrea;157;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Silje;153;6;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Lily;142;5;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Thea;142;5;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Celina;141;5;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Merle;141;5;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Nora;141;5;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Luna;140;5;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Asta;136;5;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Esther;136;5;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Louise;932;36;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Mette;897;35;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Maria;869;34;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Camilla;845;33;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Christina;792;31;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Anne;682;26;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Line;482;19;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Pernille;476;18;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Stine;457;18;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Sara;442;17;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Karina;437;17;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Katrine;432;17;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Marie;358;14;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Rikke;355;14;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Julie;353;14;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Trine;352;14;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Tina;348;13;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Charlotte;326;13;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Ditte;324;13;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Helle;307;12;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Signe;303;12;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Heidi;298;12;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Malene;296;11;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Mia;271;11;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Janni;265;10;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Martin;1190;44;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Christian;1090;41;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Kasper;1057;39;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Morten;964;36;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Thomas;962;36;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Michael;950;35;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Jesper;808;30;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Anders;787;29;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Rasmus;758;28;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Jacob;664;25;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Mads;630;23;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Søren;570;21;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Daniel;543;20;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Peter;528;20;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Dennis;498;19;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Kenneth;479;18;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Mikkel;472;18;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Jonas;452;17;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Lasse;450;17;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Henrik;446;17;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Kim;445;17;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Lars;439;16;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Simon;401;15;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Brian;325;12;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Andreas;322;12;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Emma;784;25;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Freja;735;23;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Ida;720;23;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Caroline;688;22;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Sofie;661;21;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Mathilde;632;20;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Anna;609;19;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Laura;554;17;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Lærke;517;16;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Sara;514;16;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Maja;505;16;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Julie;483;15;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Isabella;476;15;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Clara;463;15;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Victoria;432;14;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Emilie;418;13;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Josefine;413;13;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Alberte;412;13;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Sofia;393;12;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Cecilie;358;11;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Amalie;345;11;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Frida;342;11;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Marie;342;11;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Nanna;324;10;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Signe;321;10;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Nicoline;303;10;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Liva;282;9;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Mille;279;9;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Katrine;278;9;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Malou;275;9;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Karla;263;8;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Alma;241;8;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Olivia;233;7;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Tilde;216;7;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Frederikke;215;7;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Andrea;214;7;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Astrid;207;7;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Johanne;203;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Maria;192;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Ella;190;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Jasmin;189;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Asta;186;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Silje;186;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Lea;179;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Celina;177;6;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Naja;175;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Hannah;167;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Rebecca;163;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Thea;158;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Camilla;154;5;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
